EngineSize;Horsepower;Weight;MPG;Cylinders;Price
1660;121;832;39.172798552389615;4;35853
6190;314;2041;20.28142753168337;6;80000
6026;297;1434;21.520285171083085;4;80000
5991;327;1402;18.96490365603542;4;80000
4572;237;1580;25.400188892261223;4;80000
3892;206;1063;28.049234432888426;8;80000
1266;50;700;44.81676481743476;8;26237
6134;330;2049;16.91806877907779;6;80000
5226;268;1601;30.593403707062194;8;80000
6378;291;1963;16.879155692087007;6;80000
4244;221;1435;21.5043571663822;6;80000
3971;157;929;30.054485000112596;3;80000
3719;232;789;31.185899560543593;6;80000
930;50;700;48.685155702572565;6;25440
2485;156;700;38.439378710183114;6;53181
1569;62;700;39.65349444968059;6;32910
3191;170;752;33.18582437950967;5;67962
6411;302;2339;18.927259314952963;6;80000
3233;181;1068;27.34085724906877;8;74835
6111;300;2026;23.460865203171352;4;80000
5851;301;1794;18.251490342586006;6;80000
1984;99;700;44.33113146284285;5;29414
5355;240;1732;24.402395423379765;6;80000
4185;219;944;30.963782409181924;6;80000
4917;235;1256;28.863270308003816;3;80000
5643;303;1839;23.504396158077494;6;80000
3704;180;839;33.49865864895236;4;69826
1274;62;700;43.13675067861586;6;28632
1882;127;700;41.70650604441629;5;48114
3358;215;901;31.44750655508477;6;75765
2847;158;700;34.7347667012361;4;60751
3547;171;938;38.15908514390672;6;79805
1775;81;700;38.70041924484873;4;30567
2606;113;814;37.43295137990884;8;53365
989;50;700;45.39540711014643;8;15594
3534;171;1135;31.3977365846576;12;71514
3805;229;1006;32.51820280971131;6;80000
5458;268;1741;24.47916627822415;6;80000
2699;110;700;33.727542450557266;4;55876
2067;104;700;39.96907013463965;4;50218
2328;119;700;35.11289798368293;5;47194
4002;200;1100;32.3556458549519;6;80000
4356;233;1156;28.749461931087875;8;80000
4690;235;1564;26.79698966015126;4;80000
1446;87;700;44.74709404661721;8;31130
3688;168;1161;30.733469128594795;6;69327
6193;345;2020;21.777065877654614;6;80000
3235;166;833;30.979665381731596;4;68702
1400;78;700;47.235629556683584;4;26502
3163;142;1149;32.53226645233544;6;64100
2861;152;700;30.606462796913238;6;54532
1041;65;700;43.80939527461181;4;29356
2841;118;715;34.46909540823737;6;53835
3624;148;852;30.871778041549888;8;80000
